INFO 2024-10-25 00:48:58,338 autoreload Watching for file changes with StatReloader
INFO 2024-10-25 00:49:02,257 basehttp "GET /api/transactions/ HTTP/1.1" 200 13053
INFO 2024-10-25 00:49:02,273 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2024-10-25 00:49:02,276 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2024-10-25 00:49:02,281 basehttp "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 304 0
INFO 2024-10-25 00:49:02,282 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2024-10-25 00:49:02,282 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2024-10-25 00:49:02,282 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
INFO 2024-10-25 00:49:02,284 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
INFO 2024-10-25 00:49:02,286 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
INFO 2024-10-25 00:49:02,286 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
INFO 2024-10-25 00:49:02,288 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
INFO 2024-10-25 00:49:02,288 basehttp "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 304 0
INFO 2024-10-25 00:49:08,401 basehttp "GET /api/transactions/419/ HTTP/1.1" 200 6373
INFO 2024-10-25 00:49:08,454 basehttp "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
INFO 2024-10-25 00:49:15,680 basehttp "GET /api/transactions/?transaction_category=CASH HTTP/1.1" 200 9193
INFO 2024-10-25 00:49:15,714 basehttp "GET /static/rest_framework/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 0
INFO 2024-10-25 00:49:20,870 basehttp "GET /api/transactions/?transaction_category=PURCHASE HTTP/1.1" 200 13381
INFO 2024-10-25 00:51:33,372 autoreload D:\Personal stuff- Dont open\tech-task-django\service\settings.py changed, reloading.
INFO 2024-10-25 00:51:35,782 autoreload Watching for file changes with StatReloader
INFO 2024-10-25 00:51:53,905 basehttp "GET /api/transactions/?transaction_category=PURCHASE HTTP/1.1" 200 13381
INFO 2024-10-25 00:51:53,932 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2024-10-25 00:51:53,934 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2024-10-25 00:51:53,936 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
INFO 2024-10-25 00:51:53,937 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
INFO 2024-10-25 00:51:53,937 basehttp "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 304 0
INFO 2024-10-25 00:51:53,941 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
INFO 2024-10-25 00:51:53,941 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2024-10-25 00:51:53,943 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2024-10-25 00:51:53,944 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
INFO 2024-10-25 00:51:53,946 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
INFO 2024-10-25 00:51:53,947 basehttp "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 304 0
INFO 2024-10-25 00:51:53,951 basehttp "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
INFO 2024-10-25 00:51:53,951 basehttp "GET /static/rest_framework/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 0
INFO 2024-10-25 00:51:58,070 basehttp "POST /api-auth/logout/?next=/api/transactions/ HTTP/1.1" 302 0
WARNING 2024-10-25 00:51:58,082 log Forbidden: /api/transactions/
WARNING 2024-10-25 00:51:58,083 basehttp "GET /api/transactions/ HTTP/1.1" 403 5066
INFO 2024-10-25 00:52:00,122 basehttp "GET /api-auth/login/?next=/api/transactions/ HTTP/1.1" 200 2718
INFO 2024-10-25 00:52:08,355 basehttp "POST /api-auth/login/ HTTP/1.1" 302 0
INFO 2024-10-25 00:52:08,450 basehttp "GET /api/transactions/ HTTP/1.1" 200 13031
